管理機關,土地標示名稱,宗地面積（平方公尺）,持分面積（平方公尺）,列帳金額（元）
財政局,臺北市中正區永昌段五小段0505-0005,17,17,5729000
財政局,臺北市中正區永昌段五小段0505-0006,18,18,6066000
財政局,臺北市中正區永昌段五小段0507-0001,50,50,16850000
財政局,臺北市中正區永昌段五小段0507-0012,38,38,12806000
財政局,臺北市中正區河堤段一小段0031-0000,3,3,1032000
財政局,臺北市中正區河堤段一小段0066-0002,13,13,4472000
財政局,臺北市中正區河堤段一小段0331-0000,230,57.5,19780000
財政局,臺北市中正區河堤段一小段0339-0000,5,5,1720000
財政局,臺北市中正區河堤段一小段0384-0000,292,292,100702916
財政局,臺北市中正區河堤段一小段0414-0000,322,107.33,37508186
財政局,臺北市中正區河堤段二小段0061-0000,51,51,27234000
財政局,臺北市中正區河堤段二小段0064-0000,44,44,23496000
財政局,臺北市中正區河堤段二小段0065-0000,114,114,60876000
財政局,臺北市中正區河堤段二小段0067-0000,1,1,534000
財政局,臺北市中正區河堤段二小段0098-0000,124,124,84236052
財政局,臺北市中正區河堤段二小段0159-0000,1,1,650000
財政局,臺北市中正區河堤段二小段0159-0002,1,1,650000
財政局,臺北市中正區河堤段二小段0160-0000,1,1,650000
財政局,臺北市中正區河堤段二小段0161-0000,1,1,650000
財政局,臺北市中正區河堤段二小段0366-0000,1,1,650000
財政局,臺北市中正區河堤段三小段0324-0005,1,1,312000
財政局,臺北市中正區河堤段三小段0324-0006,38,38,11856000
財政局,臺北市中正區河堤段三小段0522-0002,1,1,312000
財政局,臺北市中正區河堤段三小段0647-0001,24,24,10546008
財政局,臺北市中正區河堤段四小段0045-0002,40,17.08,5875520
財政局,臺北市中正區河堤段四小段0052-0001,81,81,52650000
財政局,臺北市中正區河堤段四小段0113-0002,1,1,344000
財政局,臺北市中正區河堤段四小段0247-0000,133,133,45752000
財政局,臺北市中正區河堤段四小段0263-0006,5,5,1875000
財政局,臺北市中正區河堤段四小段0263-0011,8,8,2752000
財政局,臺北市中正區河堤段四小段0263-0013,34,34,11696000
財政局,臺北市中正區河堤段四小段0263-0018,1,1,344000
財政局,臺北市中正區河堤段四小段0446-0001,1,1,344000
財政局,臺北市中正區河堤段四小段0455-0008,7,7,5922000
財政局,臺北市中正區河堤段四小段0455-0012,2,2,688000
財政局,臺北市中正區河堤段四小段0549-0000,8,8,4552000
財政局,臺北市中正區河堤段四小段0553-0002,1,1,569000
財政局,臺北市中正區河堤段五小段0089-0000,3,3,1158000
財政局,臺北市中正區南海段二小段0081-0000,1,1,506000
財政局,臺北市中正區南海段二小段0104-0000,1,1,506000
財政局,臺北市中正區南海段二小段0104-0001,2,2,1012000
財政局,臺北市中正區南海段二小段0105-0000,21,21,10626000
財政局,臺北市中正區南海段二小段0125-0000,10,10,5060000
財政局,臺北市中正區南海段二小段0126-0000,1,1,506000
財政局,臺北市中正區南海段二小段0131-0000,18,18,9108000
財政局,臺北市中正區南海段二小段0306-0001,5,5,3460000
財政局,臺北市中正區南海段二小段0337-0001,246,246,170232000
財政局,臺北市中正區南海段二小段0340-0000,113,113,45878000
財政局,臺北市中正區南海段二小段0344-0000,89,89,36134000
財政局,臺北市中正區南海段二小段0353-0000,82,82,33292000
財政局,臺北市中正區南海段二小段0354-0000,84,84,34104000
財政局,臺北市中正區南海段二小段0515-0000,77,77,44987019
財政局,臺北市中正區南海段四小段0271-0002,3,3,2988000
財政局,臺北市中正區南海段五小段0048-0000,96,96,46560000
財政局,臺北市中正區南海段五小段0048-0002,1196,1196,580060000
